№;Улица;Номер;Вид объекта;Полный адрес;Кадастровый номер;Дата внесения записи в ГАР;Дата документа-основания;Номер документа-основания;Наименование документа-основания;Последнее обновление записи;Статус записи;ID ФИАС;Почтовый индекс;ОКТМО;Примечания;Реестровый номер записи;objectId (ГАР)
1;ул. Алмазная;1;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 1;;11.06.2026;10.06.2026;01/05-338;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;183c1fee-47e8-4568-b767-61760e793fce;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510002000000000;179929509
2;ул. Алмазная;2;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 2;;11.06.2026;10.06.2026;01/05-339;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;ac463d17-0af1-46c9-94e9-380bfafff4c3;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510003000000000;179929517
3;ул. Алмазная;3;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 3;96:01:0005445:37;11.06.2026;10.06.2026;01/05-340;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;17.06.2026;Актуальная;fbb0f78e-327b-45cd-bede-9e1a3a19a2e0;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510004000000010;179929529
4;ул. Алмазная;4;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 4;;11.06.2026;10.06.2026;01/05-341;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;735cf719-eff9-488b-a68f-e468272c09b0;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510005000000000;179929581
5;ул. Алмазная;5;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 5;;11.06.2026;10.06.2026;01/05-342;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;6c8d53de-c1a3-4a59-9adf-5a4857029037;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510006000000000;179929583
6;ул. Алмазная;6;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 6;;11.06.2026;10.06.2026;01/05-343;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;0139c2b2-5f12-4a77-b032-4466fee805ac;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510007000000000;179929587
7;ул. Алмазная;7;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 7;;11.06.2026;10.06.2026;01/05-344;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;da875dec-a5a1-4b70-8a99-4ddabcfb3962;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510008000000000;179929591
8;ул. Алмазная;8;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 8;;05.06.2026;04.06.2026;01/05-310;О присвоении адреса объекту адресации на территории муниципального округа Генический муниципальный округ Херсонской области;05.06.2026;Актуальная;736b0ff0-9580-4ef8-9419-53e1c19611bc;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510001000000000;179798113
9;ул. Алмазная;9;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 9;;11.06.2026;10.06.2026;01/05-346;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;0d86dc0e-7522-498a-8477-4d560fbebc41;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510009000000000;179929594
10;ул. Алмазная;10;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 10;;11.06.2026;10.06.2026;01/05-347;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;251b5fdf-12af-49cd-b487-5fd60ee7f69b;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510010000000000;179929595
11;ул. Алмазная;11;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 11;;11.06.2026;10.06.2026;01/05-348;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;11.06.2026;Актуальная;1983eae0-f8ba-4893-bd62-7e3f7c6caf09;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510011000000000;179929596
12;ул. Алмазная;11/1;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 11/1;96:01:0005445:277;29.06.2026;29.06.2026;01/05-463;О присвоении адреса объекту адресации на территории муниципального  образования Генический муниципальный округ Херсонской области;29.06.2026;Актуальная;90e053a1-9080-41b6-b062-cd7cd6f63a72;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510048000000000;180235205
13;ул. Алмазная;11/1;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 11/1;;29.06.2026;29.06.2026;01/05-463;О присвоении адреса объекту адресации на территории муниципального  образования Генический муниципальный округ Херсонской области;29.06.2026;Актуальная;3a3d3283-6845-4cdc-ab19-409765787d43;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000520010000000000;180235210
14;ул. Алмазная;11/2;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 11/2;96:01:0005445:278;29.06.2026;29.06.2026;01/05-463;О присвоении адреса объекту адресации на территории муниципального  образования Генический муниципальный округ Херсонской области;29.06.2026;Актуальная;64ad4bac-e656-4228-9041-3740cb96e4f5;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510049000000000;180235211
